日期,渠道号,所属渠道,渠道类型,合作方式,部门,汇总类型,新增用户数,1日留存率,3日留存率,7日留存率,14日留存率,30日留存率,1日arpu净值,3日arpu净值,7日arpu净值,14日arpu净值,30日arpu净值,LT3,LT7,LT14,LT30,LT180预估,LT365预估,ltv1,ltv3,ltv7,ltv14,ltv30,ltv180预估,ltv365预估,新增单价,roi365预估,花费,活跃arpu,净值系数,活跃arpu净值,ltv180净值,ltv365净值,roi365净值,系数a,系数b,拟合优度
20190630,815360,上海影赛,线上代理商,付费推广,产品推广部,5,119,0.378151343,0,0,0,0,0.011345,0,0,0,0,1,1,1,1,16.454053,25.471049,0.011345,0,0,0,0,0.671095,1.038862,0,0,0,0.040786,2.65,0.108083,1.778402,2.752984,0,0.3713,-0.364,0.9846
20190630,813860,岚宇,线上代理商,付费推广,产品推广部,5,166,0.33734911,0,0,0,0,0.056687,0,0,0,0,1,1,1,1,24.782922,41.597122,0.056687,0,0,0,0,0.704033,1.181691,0,0,0,0.028408,2.65,0.075281,1.865687,3.131481,0,0.3723,-0.2527,0.9627
20190630,810538,广点通--亿科,线上CPC,付费推广,产品推广部,5,75,0.413333,0,0,0,0,0.032667,0,0,0,0,1,1,1,1,0,0,0.032667,0,0,0,0,0,0,2.796267,0,209.72,0.036562,2.65,0.096889,0,0,0,0,0,0
20190630,815734,掌越科技,线上代理商,付费推广,产品推广部,5,92,0.434783,0,0,0,0,0.128261,0,0,0,0,1,1,1,1,0,0,0.128261,0,0,0,0,0,0,0,0,0,0.013892,2.65,0.036814,0,0,0,0,0,0
20190630,815430,头条-优矩,线上CPC,付费推广,产品推广部,5,137,0.313869,0,0,0,0,0.034672,0,0,0,0,1,1,1,1,9.694239,13.780181,0.034672,0,0,0,0,0.437453,0.621831,1.965693,0.316342,269.3,0.045125,2.65,0.119581,1.15925,1.647852,0.838306,0.3184,-0.4785,0.9859
20190630,814649,头条--品众,线上CPC,付费推广,产品推广部,5,106,0.254717,0,0,0,0,0.020472,0,0,0,0,1,1,1,1,18.945426,31.947484,0.020472,0,0,0,0,0.736939,1.242693,0,0,0,0.038898,2.65,0.10308,1.952888,3.293136,0,0.2647,-0.2376,0.9813
20190630,811848,玩咖--摩柏,DSP平台,付费推广,产品推广部,5,40,0.375,0,0,0,0,0.0075,0,0,0,0,1,1,1,1,0,0,0.0075,0,0,0,0,0,0,0,0,0,0.024101,2.65,0.063868,0,0,0,0,0,0
20190630,815813,岚宇,线上代理商,付费推广,产品推广部,5,122,0.295082,0,0,0,0,0.037295,0,0,0,0,1,1,1,1,0,0,0.037295,0,0,0,0,0,0,0,0,0,0.042757,2.65,0.113306,0,0,0,0,0,0
20190630,815538,掌越科技,线上代理商,付费推广,产品推广部,5,59,0.389831,0,0,0,0,0.015932,0,0,0,0,1,1,1,1,0,0,0.015932,0,0,0,0,0,0,0,0,0,0.009204,2.65,0.024391,0,0,0,0,0,0
20190630,815163,头条-优矩,线上CPC,付费推广,产品推广部,5,68,0.25,0,0,0,0,0.060147,0,0,0,0,1,1,1,1,0,0,0.060147,0,0,0,0,0,0,0,0,0,0.033615,2.65,0.08908,0,0,0,0,0,0
20190630,813191,广点通-派瑞,线上CPC,付费推广,产品推广部,5,1094,0.269653,0,0,0,0,0.0583,0,0,0,0,1,1,1,1,14.088038,22.275825,0.0583,0,0,0,0,0.669168,1.058079,2.870558,0.368597,3140.39,0.047499,2.65,0.125872,1.773295,2.803909,0.976782,0.2709,-0.3248,0.9944
20190630,810060,2345线下,线下渠道,付费推广,产品推广部,5,167,0.269461,0,0,0,0,0.005389,0,0,0,0,1,1,1,1,12.340786,18.661872,0.005389,0,0,0,0,0.139105,0.210357,0,0,0,0.011272,2.65,0.029871,0.368628,0.557446,0,0.3009,-0.39,0.9549
20190630,816014,快手--致维,线上CPC,付费推广,产品推广部,5,814,0.407862,0,0,0,0,0.077924,0,0,0,0,1,1,1,1,0,0,0.077924,0,0,0,0,0,0,3.285012,0,2674,0.054207,2.65,0.143649,0,0,0,0,0,0
20190630,815652,头条-优矩,线上CPC,付费推广,产品推广部,5,178,0.235955,0,0,0,0,0.040618,0,0,0,0,1,1,1,1,11.715214,18.216922,0.040618,0,0,0,0,0.608453,0.946132,2.490562,0.379887,443.32,0.051937,2.65,0.137633,1.6124,2.50725,1.006701,0.2369,-0.342,0.9984
20190630,815341,成都聚连,线上代理商,付费推广,产品推广部,5,322,0.357143,0,0,0,0,0.062422,0,0,0,0,1,1,1,1,18.56799,29.584406,0.062422,0,0,0,0,0.645145,1.02791,0,0,0,0.034745,2.65,0.092074,1.709634,2.723962,0,0.3619,-0.3234,0.9924
20190630,813683,头条官方优化-亿科（齐欣）,线上CPC,付费推广,产品推广部,5,117,0.213675,0,0,0,0,0.072564,0,0,0,0,1,1,1,1,10.748609,16.775571,0.072564,0,0,0,0,0.402277,0.627843,1.525641,0.411527,178.5,0.037426,2.65,0.099179,1.066034,1.663784,1.090547,0.2067,-0.3311,0.9764
20190630,810537,广点通--亿科,线上CPC,付费推广,产品推广部,5,256,0.339844,0,0,0,0,0.060938,0,0,0,0,1,1,1,1,14.815532,22.945107,0.060938,0,0,0,0,0.460082,0.712537,2.139414,0.333053,547.69,0.031054,2.65,0.082293,1.219217,1.888223,0.88259,0.3257,-0.3591,0.9907
20190630,815720,创新梦想,线上代理商,付费推广,产品推广部,5,246,0.45935,0,0,0,0,0.024228,0,0,0,0,1,1,1,1,0,0,0.024228,0,0,0,0,0,0,0,0,0,0.013089,2.65,0.034686,0,0,0,0,0,0
20190630,815429,头条-优矩,线上CPC,付费推广,产品推广部,5,94,0.223404,0,0,0,0,0.039468,0,0,0,0,1,1,1,1,0,0,0.039468,0,0,0,0,0,0,2.315426,0,217.65,0.04413,2.65,0.116945,0,0,0,0,0,0
20190630,814632,乐保天下,线下渠道,付费推广,产品推广部,5,131,0.10687,0,0,0,0,0.001527,0,0,0,0,1,1,1,1,3.450211,4.497752,0.001527,0,0,0,0,0.06849,0.089285,0,0,0,0.019851,2.65,0.052605,0.181498,0.236605,0,0.1046,-0.5231,0.9849
20190630,811781,头条--品众,线上CPC,付费推广,产品推广部,5,168,0.303571,0,0,0,0,0.045536,0,0,0,0,1,1,1,1,16.020616,25.828196,0.045536,0,0,0,0,0.463476,0.74721,0,0,0,0.02893,2.65,0.076664,1.228211,1.980106,0,0.282,-0.2996,0.9651
20190630,815809,蓝之悦网络,线上代理商,付费推广,产品推广部,5,136,0.404412,0,0,0,0,0.264632,0,0,0,0,1,1,1,1,0,0,0.264632,0,0,0,0,0,0,0,0,0,0.043144,2.65,0.114332,0,0,0,0,0,0
20190630,815812,岚宇,线上代理商,付费推广,产品推广部,5,1327,0.296157,0,0,0,0,0.002472,0,0,0,0,1,1,1,1,14.622919,22.939919,0.002472,0,0,0,0,0.143714,0.225454,0,0,0,0.009828,2.65,0.026044,0.380842,0.597453,0,0.2972,-0.3385,0.9984
20190630,815537,移动MM,线上代理商,付费推广,产品推广部,5,305,0.465574,0,0,0,0,0.138984,0,0,0,0,1,1,1,1,28.762892,48.106793,0.138984,0,0,0,0,1.742542,2.914454,0,0,0,0.060583,2.65,0.160545,4.617736,7.723303,0,0.4493,-0.2613,0.9914
20190630,815162,头条-优矩,线上CPC,付费推广,产品推广部,5,345,0.286957,0,0,0,0,0.04142,0,0,0,0,1,1,1,1,15.110222,23.838042,0.04142,0,0,0,0,0.59983,0.946299,2.94487,0.321338,1015.98,0.039697,2.65,0.105197,1.589549,2.507692,0.851546,0.3,-0.3316,0.9582
20190630,813190,广点通-派瑞,线上CPC,付费推广,产品推广部,5,11990,0.311093,0,0,0,0,0.052178,0,0,0,0,1,1,1,1,19.327267,31.903148,0.052178,0,0,0,0,0.678542,1.120056,2.814279,0.39799,33743.21,0.035108,2.65,0.093036,1.798136,2.968148,1.054674,0.3076,-0.2705,0.998
20190630,810018,辉煌明天,线上代理商,付费推广,产品推广部,5,53,0.377358,0,0,0,0,0.019057,0,0,0,0,1,1,1,1,0,0,0.019057,0,0,0,0,0,0,0,0,0,0.016502,2.65,0.04373,0,0,0,0,0,0
20190630,816012,快手--致维,线上CPC,付费推广,产品推广部,5,36,0.527778,0,0,0,0,0.036389,0,0,0,0,1,1,1,1,0,0,0.036389,0,0,0,0,0,0,3,0,108,0.073544,2.65,0.194892,0,0,0,0,0,0
20190630,815651,头条-优矩,线上CPC,付费推广,产品推广部,5,4499,0.346077,0,0,0,0,0.061283,0,0,0,0,1,1,1,1,13.393869,20.110064,0.061283,0,0,0,0,0.622614,0.934816,2.893078,0.323122,13015.96,0.046485,2.65,0.123185,1.649927,2.477262,0.856273,0.3463,-0.4044,0.9961
20190630,815337,邻度dsp,DSP平台,付费推广,产品推广部,5,113,0.221239,0,0,0,0,0.032124,0,0,0,0,1,1,1,1,15.83288,26.098711,0.032124,0,0,0,0,0.564806,0.931019,1.984248,0.469205,224.22,0.035673,2.65,0.094533,1.496736,2.4672,1.243393,0.2442,-0.2655,0.9561
20190630,813682,头条官方优化-亿科（齐欣）,线上CPC,付费推广,产品推广部,5,228,0.214912,0,0,0,0,0.071842,0,0,0,0,1,1,1,1,13.127139,20.903288,0.071842,0,0,0,0,0.517787,0.824509,1.761842,0.467981,401.7,0.039444,2.65,0.104527,1.372136,2.184949,1.24015,0.2381,-0.3108,0.9581
20190630,810536,广点通--亿科,线上CPC,付费推广,产品推广部,5,89,0.41573,0,0,0,0,0.120337,0,0,0,0,1,1,1,1,0,0,0.120337,0,0,0,0,0,0,3.730787,0,332.04,0.035637,2.65,0.094438,0,0,0,0,0,0
20190630,815689,头条官方优化-亿科（齐欣）,线上CPC,付费推广,产品推广部,5,44,0.25,0,0,0,0,0.057273,0,0,0,0,1,1,1,1,0,0,0.057273,0,0,0,0,0,0,3.112955,0,136.97,0.044992,2.65,0.119229,0,0,0,0,0,0
20190630,815427,头条-优矩,线上CPC,付费推广,产品推广部,5,32,0.21875,0,0,0,0,0.03125,0,0,0,0,1,1,1,1,0,0,0.03125,0,0,0,0,0,0,0.772812,0,24.73,0.064353,2.65,0.170535,0,0,0,0,0,0
20190630,814613,应用宝-亨利嘉业,线上CPC,付费推广,产品推广部,5,66,0.409091,0,0,0,0,0.041818,0,0,0,0,1,1,1,1,0,0,0.041818,0,0,0,0,0,0,0,0,0,0.027372,2.65,0.072536,0,0,0,0,0,0
20190630,811641,头条--品众,线上CPC,付费推广,产品推广部,5,81,0.222222,0,0,0,0,0.014321,0,0,0,0,1,1,1,1,0,0,0.014321,0,0,0,0,0,0,0,0,0,0.027572,2.65,0.073066,0,0,0,0,0,0
20190630,815808,蓝之悦网络,线上代理商,付费推广,产品推广部,5,142,0.422535,0,0,0,0,0.261127,0,0,0,0,1,1,1,1,0,0,0.261127,0,0,0,0,0,0,0,0,0,0.041257,2.65,0.109331,0,0,0,0,0,0
